no,type,poste
9.20,Borough councillor,Electoral district of Joseph-Beaubien
9.30,Borough councillor,Electoral district of Robert-Bourassa
9.40,Borough councillor,Electoral district of Jeanne-Sauvé
10.00,Borough mayor,Mayor of the Pierrefonds-Roxboro borough
10.10,City councillor,Electoral district of Bois-de-Liesse
10.11,Borough councillor,Electoral district of Bois-de-Liesse
10.20,City councillor,Electoral district of Cap-Saint-Jacques
10.21,Borough councillor,Electoral district of Cap-Saint-Jacques
11.00,Borough mayor,Mayor of the du Plateau-Mont-Royal borough
11.10,City councillor,Electoral district of Mile-End
11.11,Borough councillor,Electoral district of Mile-End
11.20,City councillor,Electoral district of De Lorimier
11.21,Borough councillor,Electoral district of De Lorimier
11.30,City councillor,Electoral district of Jeanne-Mance
11.31,Borough councillor,Electoral district of Jeanne-Mance
12.00,Borough mayor,Mayor of the Rivière-des-Prairies–Pointe-aux-Trembles borough
12.10,City councillor,Electoral district of La Pointe-aux-Prairies
12.11,Borough councillor,Electoral district of La Pointe-aux-Prairies
12.20,City councillor,Electoral district of Pointe-aux-Trembles
12.21,Borough councillor,Electoral district of Pointe-aux-Trembles
12.30,City councillor,Electoral district of Rivière-des-Prairies
12.31,Borough councillor,Electoral district of Rivière-des-Prairies
13.00,Borough mayor,Mayor of the Rosemont–La Petite-Patrie borough
13.10,City councillor,Electoral district of Saint-Édouard
13.20,City councillor,Electoral district of Étienne-Desmarteau
13.30,City councillor,Electoral district of Vieux-Rosemont
13.40,City councillor,Electoral district of Marie-Victorin
14.00,Borough mayor,Mayor of the Saint-Laurent borough
14.10,City councillor,Electoral district of la Côte-de-Liesse
14.11,Borough councillor,Electoral district of la Côte-de-Liesse
14.20,City councillor,Electoral district of Norman-McLaren
14.21,Borough councillor,Electoral district of Norman-McLaren
15.00,Borough mayor,Mayor of the Saint-Léonard borough
15.10,City councillor,Electoral district of Saint-Léonard-Est
15.11,Borough councillor,Electoral district of Saint-Léonard-Est
15.20,City councillor,Electoral district of Saint-Léonard-Ouest
15.21,Borough councillor,Electoral district of Saint-Léonard-Ouest
16.00,Borough mayor,Mayor of the du Sud-Ouest borough
16.10,City councillor,Electoral district of Saint-Henri-Est–Petite-Bourgogne–Pointe-Saint-Charles–Griffintown
16.11,Borough councillor,Electoral district of Saint-Henri-Est–Petite-Bourgogne–Pointe-Saint-Charles–Griffintown
16.20,City councillor,Electoral district of Saint-Paul–Émard–Saint-Henri-Ouest
16.21,Borough councillor,Electoral district of Saint-Paul–Émard–Saint-Henri-Ouest
17.00,Borough mayor,Mayor of the Verdun borough
17.10,City councillor,Electoral district of Champlain−L'Île-des-Soeurs
17.11,Borough councillor,Electoral district of Champlain−L'Île-des-Soeurs (seat 1)
17.12,Borough councillor,Electoral district of Champlain−L'Île-des-Soeurs (seat 2)
17.20,City councillor,Electoral district of Desmarchais-Crawford
17.21,Borough councillor,Electoral district of Desmarchais-Crawford (seat 1)
17.22,Borough councillor,Electoral district of Desmarchais-Crawford (seat 2)
18.10,City councillor,Electoral district of Peter-McGill
18.20,City councillor,Electoral district of Saint-Jacques
18.30,City councillor,Electoral district of Sainte-Marie
19.00,Borough mayor,Mayor of the Villeray–Saint-Michel–Parc-Extension borough
19.10,City councillor,Electoral district of Saint-Michel
19.20,City councillor,Electoral district of François-Perrault
19.30,City councillor,Electoral district of Villeray
19.40,City councillor,Electoral district of Parc-Extension
